monthly_income,spending_behaviour,monthly_expenses,savings_goal,savings_monthly,total_savings_installment
27655196.27,wasteful,24076776.93,9201898.47,5531039.254,2
9077126.65,wasteful,7446311.658,37580173.29,1815425.33,21
2048866.4,frugal,688953.2117,37118904.8,409773.28,91
20253178.16,frugal,7071837.6,25206967.35,4050635.632,6
5353289.32,moderate,2904126.444,4954012.72,1070657.864,5
14326702.8,frugal,5586276.51,29378696.85,2865340.56,10
9148876.11,wasteful,8781285.03,15043399.27,1829775.222,8
14399166.68,moderate,8952606.718,30765308.67,2879833.336,11
15548885.31,moderate,9759224.395,21651480.91,3109777.062,7
2715107.52,moderate,1366796.026,35225324.2,543021.504,65
3692726.95,moderate,1965938.647,15527805.25,738545.39,21
26996882.38,moderate,14320126.06,6324931.95,5399376.476,1
1295229.06,moderate,771765.6353,5685828.7,259045.812,22
5601874.73,frugal,1961486.141,32178200.34,1120374.946,29
6420526.23,frugal,1984113.2,38610867.37,1284105.246,30
4175072.39,moderate,2211636.59,16576574.36,835014.478,20
3055788.18,wasteful,2830468.536,15131670.27,611157.636,25
19915276.18,wasteful,17510252.69,31945080.61,3983055.236,8
21021916.72,moderate,11791717.19,39442945.64,4204383.344,9
5136704.6,wasteful,4529787.179,29342329.89,1027340.92,29
5146452.1,frugal,2006824.367,10191203,1029290.42,10
25945308.75,moderate,16766052.37,17383471.19,5189061.75,3
20228745.42,wasteful,19476324.08,12317718.87,4045749.084,3
22836704.03,moderate,12392184.21,23374005.26,4567340.806,5
16382809.75,wasteful,13597937.6,17486259.87,3276561.95,5
8913019.31,frugal,2758290.276,36839071.22,1782603.862,21
25029605.41,moderate,13235567.79,31282244.41,5005921.082,6
22584440.38,moderate,12449613,37155085.49,4516888.076,8
10288953.58,moderate,6065716.872,20162876.5,2057790.716,10
24550468.46,frugal,8362919.744,11176851.99,4910093.692,2
7695530.05,wasteful,6896366.805,37430096.45,1539106.01,24
18915024.29,frugal,6624769.438,19833152.32,3783004.858,5
19249670.97,moderate,12670258.7,3203917.43,3849934.194,1
20689695.12,wasteful,16758585.44,37640240.39,4137939.024,9
13579020.04,frugal,5043361.685,17015905.49,2715804.008,6
9943220.8,frugal,3817418.442,21042042.89,1988644.16,11
26220106.77,frugal,8596471.928,15559704.55,5244021.354,3
4029695.31,moderate,2043213.097,30587850.22,805939.062,38
1913194.5,wasteful,1907789.468,19633411.19,382638.9,51
6139911.82,frugal,2028760.359,30571362.78,1227982.364,25
20168053.35,frugal,7052578.94,22799592.48,4033610.67,6
23181207.96,frugal,9259417.45,21066908.39,4636241.592,5
27132316.1,moderate,15157547.93,5924221.17,5426463.22,1
6004959.36,wasteful,5323306.31,19968857.74,1200991.872,17
6270182.43,frugal,2183512.715,20772985.24,1254036.486,17
23349038.67,moderate,14816055.44,38923705.44,4669807.734,8
20946132.76,moderate,11204041.16,36608825.93,4189226.552,9
24447962.92,moderate,14175060.33,30595648.93,4889592.584,6
6899725.83,wasteful,6447912.078,35989375.45,1379945.166,26
17228880.18,wasteful,16075035.95,31167701.23,3445776.036,9
16390750.17,wasteful,15552023.99,13332840.86,3278150.034,4
21018302.75,moderate,13454049.23,25443500.8,4203660.55,6
11645000.04,wasteful,10600526.43,37120540.99,2329000.008,16
12021459.21,frugal,4727153.818,23427223.42,2404291.842,10
26559199.37,moderate,16518858.8,30955028.93,5311839.874,6
24371737.86,wasteful,24341035.42,12252744.18,4874347.572,3
6495626.12,wasteful,6202152.429,27594643.54,1299125.224,21
5426568.95,frugal,1873850.99,38766355.02,1085313.79,36
13159575.01,wasteful,11709641.83,19297726.36,2631915.002,7
1801692.46,moderate,1092593.272,21626428.36,360338.492,60
9018266.05,wasteful,8826564.059,9598633.42,1803653.21,5
7218905.27,wasteful,6753667.764,12720014.16,1443781.054,9
20300850.01,wasteful,19247824.25,22798838.91,4060170.002,6
23883342.88,frugal,8659115.128,3668815.37,4776668.576,1
24153539.79,frugal,9402822.751,33390916.6,4830707.958,7
20243733.95,moderate,13966961.31,34265474.72,4048746.79,8
9536885.94,wasteful,8656023.233,11369360.4,1907377.188,6
11495184.13,frugal,4389966.071,22782795.41,2299036.826,10
13043015.4,moderate,9122992.125,12063963.12,2608603.08,5
18407664.06,wasteful,16919525.38,19153052.65,3681532.812,5
3228511.74,frugal,1285668.844,31825984.24,645702.348,49
15362890.2,wasteful,12678961.41,6168133.83,3072578.04,2
25314146.6,wasteful,25136670.66,34860567.13,5062829.32,7
26534880.84,moderate,13498565.9,6734141.29,5306976.168,1
11270756.22,frugal,4465290.077,29628254.49,2254151.244,13
20387130.37,wasteful,18380178.59,5646188.9,4077426.074,1
17666734.3,wasteful,16575582.59,16872186.97,3533346.86,5
7904519.07,frugal,2752927.154,14878221.4,1580903.814,9
10987730.4,frugal,3391275.655,30782702.23,2197546.08,14
10561981.87,moderate,6175799.517,14497926.26,2112396.374,7
19196012.69,frugal,7276560.652,13378580,3839202.538,3
20518620.97,moderate,12373803.15,34877004.61,4103724.194,8
14468956.78,frugal,5517095.06,20942751.95,2893791.356,7
10578986.45,moderate,6032840.664,9839136.65,2115797.29,5
3510876.83,wasteful,2810428.391,29896541.91,702175.366,43
9735312.85,moderate,6530482.047,20118271.8,1947062.57,10
1466979.05,moderate,1012793.474,37501823.04,293395.81,128
9647464.92,wasteful,8325002.407,10659833.96,1929492.984,6
25617320.98,wasteful,20784944.05,30346501.77,5123464.196,6
2098406.82,frugal,652081.501,31673724.82,419681.364,75
16056821.73,moderate,11098989.65,38601522.53,3211364.346,12
27751223.59,wasteful,23198050.53,26371438.76,5550244.718,5
26017435.06,moderate,16843161.86,34091897,5203487.012,7
21606797.42,frugal,6485716.678,15166576.02,4321359.484,4
25837181.99,wasteful,22831042.9,21625844.19,5167436.398,4
26793358.17,moderate,13407730.53,29776569,5358671.634,6
23389426.61,frugal,7818151.537,39523236.75,4677885.322,8
22398976.66,moderate,13936296.94,9775707.45,4479795.332,2
26352031.1,moderate,16272008.7,14581511.45,5270406.22,3
25768655.31,wasteful,20829817.22,20171454.35,5153731.062,4
9674350.99,moderate,5039860.828,20672112.16,1934870.198,11
16766702.94,moderate,10878315.56,33345953.93,3353340.588,10
4128945.27,frugal,1627299.339,13691071.44,825789.054,17
26912008.21,frugal,8741639.731,20817085.78,5382401.642,4
2279675,frugal,868689.2897,9435819.44,455935,21
2768500.15,wasteful,2649389.778,13922494.76,553700.03,25
12661038.4,wasteful,12649104.33,35800486.51,2532207.68,14
27438481.16,moderate,17170936.52,38258513.58,5487696.232,7
2406412.77,frugal,797419.9108,18375905.32,481282.554,38
19256727.82,frugal,6709155.203,11361389.43,3851345.564,3
14701886.95,frugal,4577153.6,4317741.72,2940377.39,1
12888063.34,moderate,7945550.977,23363477.8,2577612.668,9
5317844.05,moderate,3234317.821,36577654.75,1063568.81,34
26967911.3,wasteful,23961146.33,18551623.95,5393582.26,3
21195591.47,moderate,13616031.89,37255790.97,4239118.294,9
22093870.23,wasteful,18984441.49,18516328.97,4418774.046,4
19602132.91,moderate,10691544.97,17283451.31,3920426.582,4
27056569.34,wasteful,24687852.41,16889243.03,5411313.868,3
5665802.84,frugal,2238742.992,37544113.41,1133160.568,33
22560557.45,moderate,15614601.56,28075874.11,4512111.49,6
13690783.13,moderate,9515974.912,5626767.83,2738156.626,2
14538648.77,moderate,9076529.576,31994185.05,2907729.754,11
1091064.49,moderate,606109.7323,3476921.12,218212.898,16
12276776.28,wasteful,10632628.57,35320735.46,2455355.256,14
6973164.9,wasteful,6157084.836,18767864.28,1394632.98,13
25588316.21,moderate,17776210.33,17232040.24,5117663.242,3
11000972.52,wasteful,9554879.265,13442557.52,2200194.504,6
26388172.13,moderate,17169892.79,14427293.65,5277634.426,3
13382188.19,frugal,4320288.168,11662396.13,2676437.638,4
13137184.45,frugal,4590969.136,4740066.24,2627436.89,2
7645698.35,moderate,5030169.892,12822962.12,1529139.67,8
27813923.58,wasteful,24327781.61,32268426.44,5562784.716,6
7052975.89,wasteful,5746028.446,37349233.04,1410595.178,26
16635468.44,moderate,11349936.46,38426625.41,3327093.688,12
8201252.3,frugal,3137018.253,11145438.29,1640250.46,7
23959010.64,moderate,12085283.55,3089682.63,4791802.128,1
16375954.81,moderate,11449174.46,24570005.08,3275190.962,8
14185078.7,frugal,4384320.047,33371476.81,2837015.74,12
26768644.57,frugal,10035039.07,29383918.96,5353728.914,5
17508280.47,wasteful,17403412.06,8396080.53,3501656.094,2
13889854.65,frugal,4224240.958,3283394.97,2777970.93,1
22305451.88,wasteful,21846290.5,39240901.39,4461090.376,9
14331539.84,moderate,7895508.707,13690124.55,2866307.968,5
20782412.21,frugal,6797987.296,15015186.35,4156482.442,4
22391247.84,wasteful,21756133.93,19918179.61,4478249.568,4
10603651.87,wasteful,10140559.6,30068261.48,2120730.374,14
22921917.47,wasteful,20380714.68,37103072.9,4584383.494,8
13287286.43,frugal,4162183.665,26412169.13,2657457.286,10
10563126.92,wasteful,10222415.75,13237124.1,2112625.384,6
22118873.3,frugal,7783605.256,30516003.4,4423774.66,7
24655287.03,moderate,14237479.67,11372080.69,4931057.406,2
27905644.44,frugal,10799029.5,7705494.77,5581128.888,1
24510319.63,wasteful,21961831.14,7966037.23,4902063.926,2
3841624.07,moderate,1924398.3,15334728.92,768324.814,20
11054366.7,frugal,3382769.017,5960111.38,2210873.34,3
23373951.12,wasteful,22942512.68,7523905.11,4674790.224,2
13050430.68,moderate,9015646.183,21599656.19,2610086.136,8
25044285.25,frugal,8479580.094,28202296.84,5008857.05,6
19338327.87,moderate,10507171.29,5430596.37,3867665.574,1
2024759.03,wasteful,1984710.95,25074305.21,404951.806,62
8104542.16,wasteful,6955850.858,15215821.21,1620908.432,9
2945502.1,moderate,2002327.881,7076635.94,589100.42,12
23489624.03,frugal,8335851.103,19827913.27,4697924.806,4
15465700.29,frugal,6167244.75,34088871.62,3093140.058,11
4883717.02,frugal,1555056.863,16258007.92,976743.404,17
8450387.42,frugal,2960928.292,22830179.35,1690077.484,14
5655578.28,wasteful,4873029.051,16681078.88,1131115.656,15
6543465.22,frugal,2208732.778,15372939.04,1308693.044,12
11951348.25,moderate,6802955.123,8865721.84,2390269.65,4
3546572.65,frugal,1278629.935,37393374.67,709314.53,53
22091842.16,frugal,8644411.105,26297228.79,4418368.432,6
6797876.04,moderate,4238694.635,13065600,1359575.208,10
3630891.19,frugal,1274284.987,30477080.26,726178.238,42
25137355.51,wasteful,21006645.17,19138852.95,5027471.102,4
18473810.56,moderate,9825473.103,12524886.88,3694762.112,3
3007563.65,frugal,1138217.955,3341068.18,601512.73,6
13802916.75,moderate,7263989.591,16809979.66,2760583.35,6
11406624.57,wasteful,9393310.476,11293052.45,2281324.914,5
27513513.76,frugal,8589162.871,29712734.03,5502702.752,5
14961243.59,frugal,4574504.384,31984927.37,2992248.718,11
25072402.08,wasteful,21244686.07,5772021.56,5014480.416,1
13295300.83,wasteful,12810043.3,15335894.2,2659060.166,6
24634811.67,wasteful,23082896.22,3621085.74,4926962.334,1
19617037.16,wasteful,18900736.42,22353773.73,3923407.432,6
9449095,wasteful,8900980.488,18269448.13,1889819,10
3481857.84,moderate,2124274.946,27838408.62,696371.568,40
23009756.29,moderate,15012988.92,27405876.05,4601951.258,6
11662828.82,moderate,6574408.981,8893040.59,2332565.764,4
11780742.71,moderate,7390370.534,6689560.43,2356148.542,3
2133537.81,moderate,1245736.248,19156009.52,426707.562,45
26910705.95,frugal,9263436.643,33132775.09,5382141.19,6
4371873.49,moderate,2314123.205,15511052.74,874374.698,18
21137696.69,moderate,13563324.61,4450551.08,4227539.338,1
27161797.82,moderate,14753046.4,28003307.67,5432359.564,5
23979779.31,wasteful,19855545.99,29738968.03,4795955.862,6
18563729.79,wasteful,15091516.7,20801773.8,3712745.958,6
12052084.19,wasteful,11404049.47,17227294.54,2410416.838,7
11152518.5,frugal,3689301.562,11322515.2,2230503.7,5
21180616.74,wasteful,19626957.48,6020998.83,4236123.348,1
12948180.58,frugal,4758069.051,28168058.87,2589636.116,11
4951089.81,moderate,2877339.226,24852374.97,990217.962,25
24414543.95,wasteful,21817182.42,37162808.55,4882908.79,8
22202617.4,frugal,8570122.199,16215771.67,4440523.48,4
10583113.46,frugal,4105893.384,24850388.04,2116622.692,12
18431097.19,moderate,10875154.88,28238365.26,3686219.438,8
16135658.01,wasteful,14866389.68,27391656.2,3227131.602,8
3274117.38,moderate,2046299.441,18697090.19,654823.476,29
1875429.16,wasteful,1583274.802,5083743.12,375085.832,14
16192967.14,wasteful,14787122.92,14161013.38,3238593.428,4
25467395.96,wasteful,24296340.91,6219344.53,5093479.192,1
22230744.62,wasteful,18640300.23,4912785.77,4446148.924,1
1048621.95,moderate,683918.6714,4333382.54,209724.39,21
26645336.47,frugal,9830117.574,18595620.85,5329067.294,3
20729902.24,wasteful,18308332.41,15175999.74,4145980.448,4
26570557.84,wasteful,24963584.9,22159185.3,5314111.568,4
7737756.49,frugal,2627873.402,6141418.95,1547551.298,4
5876876.46,frugal,2072078.239,29937910.32,1175375.292,25
13220760.55,frugal,4364615.97,8761753.36,2644152.11,3
1403226.16,wasteful,1195525.746,23799201.75,280645.232,85
7020026.7,wasteful,6038643.506,16315669.26,1404005.34,12
6110756.08,wasteful,6067333.041,28627226.26,1222151.216,23
21642307.51,wasteful,18048566.31,20361578.61,4328461.502,5
3009075.9,wasteful,2967042.64,17225124.1,601815.18,29
5533085.02,frugal,2042438.117,3241336.78,1106617.004,3
27976705.79,wasteful,24124812.84,22415939.97,5595341.158,4
16787251.13,frugal,6402186.266,33240910.1,3357450.226,10
21215627.59,moderate,13732540.31,11717003.16,4243125.518,3
12992561.66,frugal,5131490.152,32189107.33,2598512.332,12
23220989.52,wasteful,19863808.87,6569867.29,4644197.904,1
3406622.05,frugal,1168244.315,38320252.18,681324.41,56
4039588.75,moderate,2773312.317,16516137.23,807917.75,20
19718345.51,frugal,6230339.041,11838389.52,3943669.102,3
20337857.95,wasteful,19599643.99,5430861.03,4067571.59,1
10450981.79,frugal,3420708.128,22042619.41,2090196.358,11
